date,ivix
2016/4/21,25.05
2016/4/22,24.52
2016/4/25,25.16
2016/4/26,25.53
2016/4/27,25.47
2016/4/28,24.4
2016/4/29,23.58
2016/5/3,23.41
2016/5/4,22.86
2016/5/5,22.53
2016/5/6,23.49
2016/5/9,26.11
2016/5/10,24.89
2016/5/11,23.47
2016/5/12,23.45
2016/5/13,22.79
2016/5/16,22.5
2016/5/17,22.03
2016/5/18,22.13
2016/5/19,21.42
2016/5/20,20.54
2016/5/23,19.82
2016/5/24,19.64
2016/5/25,20.28
2016/5/26,18.9
2016/5/27,18.37
2016/5/30,18.57
2016/5/31,21.51
2016/6/1,20.86
2016/6/2,20.69
2016/6/3,20.79
2016/6/6,20.88
2016/6/7,20.67
2016/6/8,21.01
2016/6/13,23.06
2016/6/14,21.88
2016/6/15,19.7
2016/6/16,19.34
2016/6/17,18.49
2016/6/20,19.33
2016/6/21,19.24
2016/6/22,19.84
2016/6/23,20.34
2016/6/24,20.71
2016/6/27,20.43
2016/6/28,19.67
2016/6/29,19.23
2016/6/30,18.58
2016/7/1,18.21
2016/7/4,18.27
2016/7/5,18.64
2016/7/6,18.65
2016/7/7,19.3
2016/7/8,19.3
2016/7/11,19
2016/7/12,18.91
2016/7/13,19.69
2016/7/14,19.49
2016/7/15,19.55
2016/7/18,20.31
2016/7/19,20.4
2016/7/20,20.22
2016/7/21,20.27
2016/7/22,20
2016/7/25,19.87
2016/7/26,19.46
2016/7/27,20.32
2016/7/28,18.89
2016/7/29,18.75
2016/8/1,18.76
2016/8/2,18.29
2016/8/3,17.84
2016/8/4,17.45
2016/8/5,17.11
2016/8/8,17.01
2016/8/9,16.64
2016/8/10,16.65
2016/8/11,16.8
2016/8/12,17.69
2016/8/15,20.19
2016/8/16,19.36
2016/8/17,19.34
2016/8/18,19.48
2016/8/19,19.45
2016/8/22,19.73
2016/8/23,19.42
2016/8/24,19.47
2016/8/25,19.71
2016/8/26,19.6
2016/8/29,20.12
2016/8/30,20.1
2016/8/31,20.47
2016/9/1,20.53
2016/9/2,20.38
2016/9/5,20.34
2016/9/6,20.14
2016/9/7,20.12
2016/9/8,19.66
2016/9/9,18.6
2016/9/12,19.31
2016/9/13,17.55
2016/9/14,17.63
2016/9/19,17.45
2016/9/20,17.06
2016/9/21,17.35
2016/9/22,16.26
2016/9/23,15.81
2016/9/26,16.3
2016/9/27,16.5
2016/9/28,16.59
2016/9/29,15.44
2016/9/30,16.31
2016/10/10,16.78
2016/10/11,16.13
2016/10/12,16.08
2016/10/13,15.78
2016/10/14,15.21
2016/10/17,14.88
2016/10/18,15.24
2016/10/19,15.64
2016/10/20,15.19
2016/10/21,14.97
2016/10/24,15.91
2016/10/25,16.14
2016/10/26,16.37
2016/10/27,15.97
2016/10/28,16.11
2016/10/31,16.11
2016/11/1,16.35
2016/11/2,16.68
2016/11/3,17.74
2016/11/4,17.86
2016/11/7,19.01
2016/11/8,18.59
2016/11/9,18.37
2016/11/10,17.03
2016/11/11,16.27
2016/11/14,17
2016/11/15,16.92
2016/11/16,16.6
2016/11/17,16.24
2016/11/18,15.87
2016/11/21,15.65
2016/11/22,16.14
2016/11/23,16.35
2016/11/24,16.13
2016/11/25,16.03
2016/11/28,15.62
2016/11/29,14.86
2016/11/30,16.39
2016/12/1,15.83
2016/12/2,16.22
2016/12/5,16.32
2016/12/6,15.67
2016/12/7,15.15
2016/12/8,14.15
2016/12/9,14.55
2016/12/12,15.44
2016/12/13,15.43
2016/12/14,15.85
2016/12/15,17.17
2016/12/16,16.48
2016/12/19,16.97
2016/12/20,18.42
2016/12/21,17.38
2016/12/22,17.66
2016/12/23,17.51
2016/12/26,17.63
2016/12/27,18.41
2016/12/28,18.28
2016/12/29,17.34
2016/12/30,17.22
2017/1/3,15.86
2017/1/4,14.74
2017/1/5,14.73
2017/1/6,14.49
2017/1/9,14.12
2017/1/10,13.83
2017/1/11,13.78
2017/1/12,13.79
2017/1/13,13.29
2017/1/16,13.34
2017/1/17,12.32
2017/1/18,12.07
2017/1/19,12.08
2017/1/20,11.7
2017/1/23,11.66
2017/1/24,11.63
2017/1/25,11.43
2017/1/26,11.32
2017/2/3,12.43
2017/2/6,12.51
2017/2/7,11.92
2017/2/8,12.78
2017/2/9,12.63
2017/2/10,12.44
2017/2/13,12.04
2017/2/14,11.37
2017/2/15,11.1
2017/2/16,11.19
2017/2/17,11.64
2017/2/20,12.05
2017/2/21,12.29
2017/2/22,11.87
2017/2/23,11.06
2017/2/24,11.24
2017/2/27,12.1
2017/2/28,11.94
2017/3/1,11.72
2017/3/2,12.03
2017/3/3,11.34
2017/3/6,11.79
2017/3/7,11.6
2017/3/8,10.82
2017/3/9,10.57
2017/3/10,10.29
2017/3/13,10.63
2017/3/14,10.78
2017/3/15,11.49
2017/3/16,10.34
2017/3/17,10.12
2017/3/20,10.1
2017/3/21,10.11
2017/3/22,10.1
2017/3/23,9.45
2017/3/24,9.43
2017/3/27,10.25
2017/3/28,10.35
2017/3/29,10.04
2017/3/30,9.93
2017/3/31,9.65
2017/4/5,10.07
2017/4/6,10.09
2017/4/7,10.05
2017/4/10,10.12
2017/4/11,9.98
2017/4/12,9.97
2017/4/13,9.99
2017/4/14,10.42
2017/4/17,10.25
2017/4/18,10.31
2017/4/19,10.67
2017/4/20,10.19
2017/4/21,9.72
2017/4/24,10.07
2017/4/25,9.67
2017/4/26,9.29
2017/4/27,9.1
2017/4/28,9.13
2017/5/2,9.09
2017/5/3,9.06
2017/5/4,9
2017/5/5,9.29
2017/5/8,9.25
2017/5/9,8.84
2017/5/10,8.38
2017/5/11,8.31
2017/5/12,8.75
2017/5/15,8.87
2017/5/16,8.67
2017/5/17,8.56
2017/5/18,8.49
2017/5/19,8.64
2017/5/22,8.47
2017/5/23,8.59
2017/5/24,8.7
2017/5/25,12.35
2017/5/26,10.88
2017/5/31,12.03
2017/6/1,12.12
2017/6/2,12.9
2017/6/5,12.46
2017/6/6,12.48
2017/6/7,13.83
2017/6/8,14.23
2017/6/9,15.09
2017/6/12,15.45
2017/6/13,15.09
2017/6/14,14.49
2017/6/15,13.9
2017/6/16,13.28
2017/6/19,13.69
2017/6/20,13.99
2017/6/21,13.37
2017/6/22,13.61
2017/6/23,13.9
2017/6/26,15.38
2017/6/27,14.86
2017/6/28,15.04
2017/6/29,14.47
2017/6/30,14.4
2017/7/3,14.07
2017/7/4,13.3
2017/7/5,14.22
2017/7/6,13.82
2017/7/7,13.88
2017/7/10,13.9
2017/7/11,13.73
2017/7/12,14.78
2017/7/13,14.78
2017/7/14,15.76
2017/7/17,17.35
2017/7/18,16.92
2017/7/19,16.99
2017/7/20,17.2
2017/7/21,16.15
2017/7/24,15.71
2017/7/25,15.38
2017/7/26,15.93
2017/7/27,15.88
2017/7/28,15.57
2017/7/31,15.75
2017/8/1,15.06
2017/8/2,14.82
2017/8/3,15.27
2017/8/4,14.94
2017/8/7,15.37
2017/8/8,14.99
2017/8/9,14.25
2017/8/10,13.68
2017/8/11,14.6
2017/8/14,14.27
2017/8/15,14
2017/8/16,13.92
2017/8/17,13.69
2017/8/18,13.46
2017/8/21,13.1
2017/8/22,12.46
2017/8/23,13.11
2017/8/24,12.78
2017/8/25,13.83
2017/8/28,14.32
2017/8/29,14.94
2017/8/30,14.67
2017/8/31,14.59
2017/9/1,14.5
2017/9/4,15.01
2017/9/5,14.99
2017/9/6,15.22
2017/9/7,14.71
2017/9/8,14.46
2017/9/11,15.11
2017/9/12,15.17
2017/9/13,15.31
2017/9/14,14.06
2017/9/15,13.62
2017/9/18,13.7
2017/9/19,12.94
2017/9/20,12.81
2017/9/21,12.75
2017/9/22,12.59
2017/9/25,12.82
2017/9/26,12.73
2017/9/27,12.31
2017/9/28,10.53
2017/9/29,11.12
2017/10/9,11.58
2017/10/10,11.64
2017/10/11,11.06
2017/10/12,10.68
2017/10/13,10.66
2017/10/16,10.55
2017/10/17,10.66
2017/10/18,10.26
2017/10/19,10.46
2017/10/20,10.46
2017/10/23,10.33
2017/10/24,11.59
2017/10/25,11.35
2017/10/26,11.16
2017/10/27,10.72
2017/10/30,11.59
2017/10/31,10.93
2017/11/1,10.62
2017/11/2,10.57
2017/11/3,10.41
2017/11/6,10.67
2017/11/7,10.41
2017/11/8,10.76
2017/11/9,10.86
2017/11/10,11.43
2017/11/13,11.52
2017/11/14,12.21
2017/11/15,12.31
2017/11/16,12.03
2017/11/17,12.65
2017/11/20,14.56
2017/11/21,14.54
2017/11/22,15.36
2017/11/23,16.1
2017/11/24,16.92
2017/11/27,18.02
2017/11/28,15.06
