,Date,vix
0,2015-03-02,25.22186988632655
1,2015-03-03,25.513431068254217
2,2015-03-04,24.77579028513383
3,2015-03-05,23.851692537291154
4,2015-03-06,23.66857193287151
5,2015-03-09,24.16811743987786
6,2015-03-10,23.448085125322333
7,2015-03-11,22.999985755887938
8,2015-03-12,22.408334149483363
9,2015-03-13,22.459454497093645
10,2015-03-16,22.049293431319818
11,2015-03-17,22.41192643343092
12,2015-03-26,26.325504533036597
13,2015-03-27,26.630445982988743
14,2015-03-30,24.6421252055156
15,2015-03-31,27.579207475875055
16,2015-04-01,27.52984357420581
17,2015-04-02,29.22853335317861
18,2015-04-03,28.3714922263682
19,2015-04-07,26.380638064258328
20,2015-04-08,29.299769945953198
21,2015-04-09,32.43387111151685
22,2015-04-10,30.632687302978507
23,2015-04-13,34.35842146404676
24,2015-04-14,36.76210425443041
25,2015-04-15,38.988563911649706
26,2015-04-16,34.8375997051703
27,2015-04-17,39.09145822802189
28,2015-04-20,45.60901239524462
29,2015-04-21,43.87282903502133
30,2015-04-22,40.02563645400239
31,2015-04-23,41.235418332896785
32,2015-04-24,41.66727637721755
33,2015-04-27,40.266012786063136
34,2015-04-28,42.27029233376449
35,2015-04-29,42.13021893959971
36,2015-04-30,42.23266397346262
37,2015-05-04,41.961248412708656
38,2015-05-05,41.337256820645116
39,2015-05-06,41.29280960875613
40,2015-05-07,42.13972227608625
41,2015-05-08,41.67170255854895
42,2015-05-11,41.59158957173503
43,2015-05-12,41.69090827483475
44,2015-05-13,41.458085399425734
45,2015-05-14,40.481090972317304
46,2015-05-15,37.24483418432866
47,2015-05-18,34.01609678335484
48,2015-05-19,34.33001859224337
49,2015-05-28,41.60432190053315
50,2015-05-29,42.63455839913603
51,2015-06-01,42.171320175713184
52,2015-06-02,43.06852403173666
53,2015-06-03,43.32651428137204
54,2015-06-04,41.84938568960776
55,2015-06-05,41.95268321061031
56,2015-06-08,38.432895277815966
57,2015-06-09,42.99048910097617
58,2015-06-10,43.609460687894845
59,2015-06-11,45.13476857802431
60,2015-06-12,45.014035638472414
61,2015-06-15,43.5295074628163
62,2015-06-16,42.477035688135004
63,2015-06-25,43.47848999199746
64,2015-06-26,44.79260673855608
65,2015-06-29,56.8434193011137
66,2015-06-30,56.59604035113664
67,2015-07-01,53.30736709655248
68,2015-07-02,54.957395667343725
69,2015-07-03,52.03805911737338
70,2015-07-06,56.84680049890925
71,2015-07-07,52.03720331754017
72,2015-07-08,48.25647037162582
73,2015-07-09,52.26450754256848
74,2015-07-10,51.22635555786594
75,2015-07-13,50.35330362102389
76,2015-07-14,46.613965159126515
77,2015-07-15,36.06891082399366
78,2015-07-16,33.69638202590419
79,2015-07-17,31.152263929444402
80,2015-07-20,33.79500467381143
81,2015-07-21,35.26954828688807
82,2015-07-22,31.39760210078609
83,2015-07-23,29.538804683324315
84,2015-07-24,29.717812390704403
85,2015-07-27,26.221533900904742
86,2015-07-28,36.389772701087225
87,2015-07-29,38.73384026014629
88,2015-07-30,33.759935156954356
89,2015-07-31,37.12289529410013
90,2015-08-03,37.604189796338865
91,2015-08-04,37.467863736704956
92,2015-08-05,37.44965241059745
93,2015-08-06,38.69241279157018
94,2015-08-07,38.09195484866629
95,2015-08-10,38.03366456150549
96,2015-08-11,37.68949856157955
97,2015-08-12,37.28886326025712
98,2015-08-13,37.05125155515085
99,2015-08-14,37.09691565381916
100,2015-08-17,37.168255705456524
101,2015-08-18,34.17031619597282
102,2015-08-27,57.09106539079648
103,2015-08-28,57.620653407464964
104,2015-08-31,58.75234515883959
105,2015-09-01,59.34389471797127
106,2015-09-02,56.8746759333299
107,2015-09-07,55.582630747817895
108,2015-09-08,44.85065798205929
109,2015-09-09,42.596726637949786
110,2015-09-10,38.794582126596126
111,2015-09-11,37.94108470641483
112,2015-09-14,39.30648880282726
113,2015-09-15,41.459797376230114
114,2015-09-24,36.99105242457198
115,2015-09-25,33.277343179259105
116,2015-09-28,28.88917965858197
117,2015-09-29,27.938169519672208
118,2015-09-30,27.757579129906418
119,2015-10-08,28.40855570543904
120,2015-10-09,26.881913018236624
121,2015-10-12,26.14782255963132
122,2015-10-13,28.926604291517027
123,2015-10-14,28.53979014893883
124,2015-10-15,26.490382277903745
125,2015-10-16,26.295570249523912
126,2015-10-19,27.334860561258605
127,2015-10-20,27.924358544448154
128,2015-10-21,27.67891443500335
129,2015-10-22,27.28275431849764
130,2015-10-23,26.741016106751513
131,2015-10-26,29.48326647959511
132,2015-10-27,28.039204230260406
133,2015-10-28,28.707798712398347
134,2015-10-29,28.824514473933547
135,2015-10-30,26.209818621193335
136,2015-11-02,27.115339217129346
137,2015-11-03,27.260682039233657
138,2015-11-04,27.028980776681514
139,2015-11-05,29.499603232309585
140,2015-11-06,29.808211952034036
141,2015-11-09,39.3890400514409
142,2015-11-10,40.54937165440764
143,2015-11-11,37.170530921440836
144,2015-11-12,36.193345737439586
145,2015-11-13,35.25131182101515
146,2015-11-16,35.96436613733883
147,2015-11-17,35.32157797444324
148,2015-11-26,27.205741595172086
149,2015-11-27,31.461390937603934
150,2015-11-30,31.70022464141319
151,2015-12-01,31.042409669652187
152,2015-12-02,29.455476286928477
153,2015-12-03,29.819528459264394
154,2015-12-04,29.589277934080567
155,2015-12-07,28.74262432168725
156,2015-12-08,28.449560517873344
157,2015-12-09,28.160822444671275
158,2015-12-10,27.884751563369587
159,2015-12-11,27.88291603732061
160,2015-12-14,28.003152670001146
161,2015-12-15,27.514899908817263
162,2015-12-24,25.968492496520923
163,2015-12-25,24.533644709043458
