"SgnDate","Term","Shibor"
"2006-11-03","7天","2.45270"
"2006-11-03","1天","2.20550"
"2006-11-03","1年","2.95540"
"2006-11-03","30天","2.61750"
"2006-11-03","6个月","2.74860"
"2006-11-03","14天","2.58940"
"2006-11-03","9个月","2.85620"
"2006-11-06","6个月","2.75280"
"2006-11-06","7天","2.57510"
"2006-11-06","90天","2.65570"
"2006-11-06","9个月","2.85900"
"2006-11-06","30天","2.63830"
"2006-11-06","14天","2.62910"
"2006-11-06","1年","2.95660"
"2006-11-06","1天","2.23120"
"2006-11-07","1天","2.30230"
"2006-11-07","14天","2.76790"
"2006-11-07","1年","2.95770"
"2006-11-07","9个月","2.86300"
"2006-11-07","30天","2.70350"
"2006-11-07","90天","2.68300"
"2006-11-07","6个月","2.76410"
"2006-11-07","7天","2.69310"
"2006-11-08","14天","2.82940"
"2006-11-08","1天","2.42640"
"2006-11-08","30天","2.77550"
"2006-11-08","7天","2.84430"
"2006-11-08","90天","2.70820"
"2006-11-08","6个月","2.76770"
"2006-11-08","1年","2.95970"
"2006-11-08","9个月","2.86630"
"2006-11-09","30天","2.95070"
"2006-11-09","7天","2.94050"
"2006-11-09","9个月","2.86980"
"2006-11-09","90天","2.72360"
"2006-11-09","6个月","2.77750"
"2006-11-09","1年","2.96220"
"2006-11-09","14天","3.08790"
"2006-11-09","1天","2.51770"
"2006-11-10","7天","3.19750"
"2006-11-10","9个月","2.87290"
"2006-11-10","1年","2.96520"
"2006-11-10","30天","3.08360"
"2006-11-10","90天","2.74010"
"2006-11-10","14天","3.19820"
"2006-11-10","6个月","2.78890"
"2006-11-10","1天","2.61980"
"2006-11-13","90天","2.75510"
"2006-11-13","9个月","2.87750"
"2006-11-13","1年","2.97020"
"2006-11-13","30天","3.17940"
"2006-11-13","14天","3.34570"
"2006-11-13","1天","2.80710"
"2006-11-13","6个月","2.79900"
"2006-11-13","7天","3.24090"
"2006-11-14","1年","2.97720"
"2006-11-14","30天","3.23350"
"2006-11-14","1天","3.60740"
"2006-11-14","90天","2.77070"
"2006-11-14","14天","3.78040"
"2006-11-14","6个月","2.80870"
"2006-11-14","9个月","2.88490"
"2006-11-14","7天","3.63950"
"2006-11-15","90天","2.77500"
"2006-11-15","1年","2.98090"
"2006-11-15","14天","3.74900"
"2006-11-15","1天","3.53550"
"2006-11-15","30天","3.23420"
"2006-11-15","6个月","2.81650"
"2006-11-15","7天","3.69290"
"2006-11-15","9个月","2.88960"
"2006-11-16","1年","2.98310"
"2006-11-16","14天","3.72000"
"2006-11-16","1天","3.22920"
"2006-11-16","90天","2.77640"
"2006-11-16","9个月","2.89310"
"2006-11-16","7天","3.53430"
"2006-11-16","6个月","2.82070"
"2006-11-16","30天","3.26010"
"2006-11-17","1年","2.98480"
"2006-11-17","30天","3.25830"
"2006-11-17","14天","3.73280"
"2006-11-17","1天","3.19180"
"2006-11-17","6个月","2.82550"
"2006-11-17","7天","3.82580"
"2006-11-17","90天","2.77740"
"2006-11-17","9个月","2.89640"
"2006-11-20","1年","2.98600"
"2006-11-20","1天","3.26450"
"2006-11-20","90天","2.78250"
"2006-11-20","14天","4.04970"
"2006-11-20","6个月","2.83100"
"2006-11-20","9个月","2.90010"
"2006-11-20","30天","3.30860"
"2006-11-20","7天","3.94090"
"2006-11-21","1年","2.99120"
"2006-11-21","14天","4.05220"
"2006-11-21","1天","3.42890"
"2006-11-21","30天","3.38740"
"2006-11-21","6个月","2.83590"
"2006-11-21","7天","4.00160"
"2006-11-21","9个月","2.90750"
"2006-11-21","90天","2.78950"
"2006-11-22","1年","2.99390"
"2006-11-22","14天","4.01170"
"2006-11-22","1天","3.51580"
"2006-11-22","90天","2.79160"
"2006-11-22","9个月","2.90870"
"2006-11-22","7天","3.70910"
"2006-11-22","6个月","2.83740"
"2006-11-22","30天","3.41550"
"2006-11-23","1年","2.99550"
"2006-11-23","30天","3.36510"
"2006-11-23","14天","4.00730"
"2006-11-23","1天","3.53990"
"2006-11-23","6个月","2.83980"
"2006-11-23","7天","3.71650"
"2006-11-23","90天","2.79520"
"2006-11-23","9个月","2.91030"
"2006-11-24","1天","3.51010"
"2006-11-24","1年","2.99680"
"2006-11-24","9个月","2.91330"
"2006-11-24","14天","3.99050"
"2006-11-24","90天","2.80280"
"2006-11-24","30天","3.31400"
"2006-11-24","7天","3.88610"
"2006-11-24","6个月","2.84620"
"2006-11-27","1天","3.20500"
"2006-11-27","1年","2.99760"
"2006-11-27","14天","3.44650"
"2006-11-27","7天","3.17470"
"2006-11-27","90天","2.80180"
"2006-11-27","9个月","2.91620"
"2006-11-27","30天","3.24480"
"2006-11-27","6个月","2.84630"
"2006-11-28","1年","2.99840"
"2006-11-28","1天","2.77440"
"2006-11-28","14天","3.31860"
"2006-11-28","30天","3.13560"
"2006-11-28","6个月","2.84670"
"2006-11-28","90天","2.80230"
"2006-11-28","9个月","2.91870"
"2006-11-28","7天","3.07280"
"2006-11-29","1天","2.55470"
"2006-11-29","1年","2.99920"
"2006-11-29","6个月","2.84730"
"2006-11-29","7天","2.51370"
"2006-11-29","90天","2.80380"
"2006-11-29","9个月","2.91990"
"2006-11-29","30天","3.12590"
"2006-11-29","14天","2.88420"
"2006-11-30","1天","2.41610"
"2006-11-30","1年","2.99960"
"2006-11-30","9个月","2.92110"
"2006-11-30","14天","2.74870"
"2006-11-30","90天","2.80540"
"2006-11-30","30天","3.08470"
"2006-11-30","7天","2.42700"
"2006-11-30","6个月","2.84840"
"2006-12-01","1天","2.33700"
"2006-12-01","1年","2.99980"
"2006-12-01","14天","2.63590"
"2006-12-01","7天","2.38510"
"2006-12-01","90天","2.80860"
"2006-12-01","9个月","2.92120"
"2006-12-01","30天","3.01600"
"2006-12-01","6个月","2.84950"
"2006-12-04","1年","3.00010"
"2006-12-04","1天","2.18030"
"2006-12-04","14天","2.65190"
"2006-12-04","30天","2.83800"
"2006-12-04","6个月","2.85160"
"2006-12-04","90天","2.80900"
"2006-12-04","9个月","2.92280"
"2006-12-04","7天","2.35430"
"2006-12-05","1天","2.10950"
"2006-12-05","90天","2.80960"
"2006-12-05","1年","3.00060"
"2006-12-05","6个月","2.85350"
"2006-12-05","7天","2.31650"
"2006-12-05","9个月","2.92390"
"2006-12-05","30天","2.75400"
