期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,挂牌原因,结算方式,交易状态
10000030,510050P1506M02400,50ETF沽2015年6月2400,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.2599,合约新挂,实物资产,退市
10000031,510050C1509M02200,50ETF购2015年9月2200,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3536,合约新挂,实物资产,退市
10000032,510050C1509M02250,50ETF购2015年9月2250,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3288,合约新挂,实物资产,退市
10000033,510050C1509M02300,50ETF购2015年9月2300,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3054,合约新挂,实物资产,退市
10000034,510050C1509M02350,50ETF购2015年9月2350,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2833,合约新挂,实物资产,退市
10000035,510050C1509M02400,50ETF购2015年9月2400,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2626,合约新挂,实物资产,退市
10000036,510050P1509M02200,50ETF沽2015年9月2200,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2055,合约新挂,实物资产,退市
10000037,510050P1509M02250,50ETF沽2015年9月2250,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2294,合约新挂,实物资产,退市
10000038,510050P1509M02300,50ETF沽2015年9月2300,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2546,合约新挂,实物资产,退市
10000039,510050P1509M02350,50ETF沽2015年9月2350,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2813,合约新挂,实物资产,退市
10000040,510050P1509M02400,50ETF沽2015年9月2400,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3092,合约新挂,实物资产,退市
10000041,510050C1503M02450,50ETF购2015年3月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-03,2015-02-10,2015-03-25,2015-03-25,2015-03-26,0.0571,波动加挂,实物资产,退市
10000042,510050P1503M02450,50ETF沽2015年3月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-03,2015-02-10,2015-03-25,2015-03-25,2015-03-26,0.1861,波动加挂,实物资产,退市
10000043,510050C1504M02450,50ETF购2015年4月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-04,2015-02-10,2015-04-22,2015-04-22,2015-04-23,0.0829,波动加挂,实物资产,退市
10000044,510050P1504M02450,50ETF沽2015年4月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-04,2015-02-10,2015-04-22,2015-04-22,2015-04-23,0.2213,波动加挂,实物资产,退市
10000045,510050C1506M02450,50ETF购2015年6月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-06,2015-02-10,2015-06-24,2015-06-24,2015-06-25,0.1462,波动加挂,实物资产,退市
10000046,510050P1506M02450,50ETF沽2015年6月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-06,2015-02-10,2015-06-24,2015-06-24,2015-06-25,0.2632,波动加挂,实物资产,退市
10000047,510050C1509M02450,50ETF购2015年9月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-09,2015-02-10,2015-09-23,2015-09-23,2015-09-24,0.1925,波动加挂,实物资产,退市
10000048,510050P1509M02450,50ETF沽2015年9月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-09,2015-02-10,2015-09-23,2015-09-23,2015-09-24,0.3229,波动加挂,实物资产,退市
10000049,510050C1503M02500,50ETF购2015年3月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-03,2015-02-12,2015-03-25,2015-03-25,2015-03-26,0.043,波动加挂,实物资产,退市
10000050,510050P1503M02500,50ETF沽2015年3月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-03,2015-02-12,2015-03-25,2015-03-25,2015-03-26,0.1625,波动加挂,实物资产,退市
10000051,510050C1504M02500,50ETF购2015年4月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-04,2015-02-12,2015-04-22,2015-04-22,2015-04-23,0.0672,波动加挂,实物资产,退市
10000052,510050P1504M02500,50ETF沽2015年4月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-04,2015-02-12,2015-04-22,2015-04-22,2015-04-23,0.1842,波动加挂,实物资产,退市
10000053,510050C1506M02500,50ETF购2015年6月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-06,2015-02-12,2015-06-24,2015-06-24,2015-06-25,0.1169,波动加挂,实物资产,退市
10000054,510050P1506M02500,50ETF沽2015年6月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-06,2015-02-12,2015-06-24,2015-06-24,2015-06-25,0.2288,波动加挂,实物资产,退市
10000055,510050C1509M02500,50ETF购2015年9月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-09,2015-02-12,2015-09-23,2015-09-23,2015-09-24,0.1712,波动加挂,实物资产,退市
10000056,510050P1509M02500,50ETF沽2015年9月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-09,2015-02-12,2015-09-23,2015-09-23,2015-09-24,0.2673,波动加挂,实物资产,退市
10000057,510050C1503M02550,50ETF购2015年3月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-03,2015-02-27,2015-03-25,2015-03-25,2015-03-26,0.0279,波动加挂,实物资产,退市
10000058,510050P1503M02550,50ETF沽2015年3月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-03,2015-02-27,2015-03-25,2015-03-25,2015-03-26,0.1295,波动加挂,实物资产,退市
10000059,510050C1504M02550,50ETF购2015年4月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-04,2015-02-27,2015-04-22,2015-04-22,2015-04-23,0.0554,波动加挂,实物资产,退市
10000060,510050P1504M02550,50ETF沽2015年4月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-04,2015-02-27,2015-04-22,2015-04-22,2015-04-23,0.1565,波动加挂,实物资产,退市
